Ciudad,Nombre,Descripcion,Localidad / Comuna,Barrio,Zona,Lat,Lng,N° apartamentos,N° torres,Aptos por piso,Pisos por torre (según descripción),Fecha aprox. entrega,Precio desde (COP),Área construida desde (m²),Área privada desde (m²),Habitaciones,Baños,Espacio disponible (flexible),Espacio para segundo baño,Zonas comunes,Otras características,Recorrido 3D (360°),Presentación online (video),Brochure (PDF),Google Maps,Waze,Dirección proyecto,Sala de ventas,Horario sala de ventas,Correo,URL galias.com.co,Nota
Bogotá,CENTRUM TERCER MILENIO,"Las Galias estrena nuevo proyecto de apartamentos en el Centro Histórico de la capital, zona de transformación, cultura e innovación donde tu oportunidad de vivienda propia VIS aguarda.
En Centrum Tercer Milenio encontrarás aptos flexibles con posibilidad de 2 habitación, 1 baño. Adecua tu hogar según las necesidades de tu rutina o familia. También descubrirás múltiples zonas sociales como gimnasio semidotado y zona de juegos para disfrutar increíbles momentos y experimentar la modernidad del proyecto.
Ubícate en uno de los sectores con más alta valorización y desarrollo de la ciudad, el Centro de Bogotá ofrece acceso a puntos de interés culturales, gastronómicos y educativos importantes. De igual manera, brinda cercanía a vías principales como la Carrera Décima, Av. Caracas y Calle 26.
¿Qué esperas para renovar tu estilo de vida? Invierte ahora en Centrum Tercer Milenio.",Santa Fe,Voto Nacional,Centro,"4,596763","-74,084602",656,2,,,2027,$251.319.000,"38,58","33,41",2,1,,Si,"Juegos Infantiles, Senderos de Trote, Gimnasio, Ciclo Rutas, Salón Social, Zona Comercial, Cancha Múltiple, Terraza Transitable, ... Leer Más, ... Leer Menos","Parqueadero Comunal, Ascensor, Zona Comercial",,https://www.youtube.com/watch?v=5gRMWj6pOD8,https://galias.com.co/brochures/bogota/brochure_centrum.pdf,https://www.google.com/maps/d/edit?mid=1lro3_NWxTUe_hcN5TrjC_HRANK1ImBI&ll=4.596822595671529%2C-74.0846762&z=18,https://www.waze.com/en/live-map/directions?to=ll.4.59682%2C-74.08467,Av Calle 6 # 12A -63,Av Calle 6 # 12A -63,Lunes a Domingo 9:30 Am hasta 5:30Pm,centrumtercermilenio@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/centrum-tercer-milenio/,
Bogotá,Casablanca Gardens,"Casablanca Gardens: Apartamentos VIS en Suba, Bogotá
Bienvenido a Casablanca Gardens, un proyecto de apartamentos VIS en Suba, diseñado para quienes buscan una vida cómoda y accesible en Bogotá. Ubicado en el sector estratégico de Suba, Casablanca Gardens ofrece 336 apartamentos en un entorno cerrado y seguro, ideal para familias que desean estabilidad y tranquilidad.
Con apartamentos de interés social (VIS) de desde 39.00 m², Casablanca Gardens ofrece espacios modernos, funcionales y adaptados a las necesidades actuales. Cada apartamento está diseñado para maximizar el espacio y crear un ambiente acogedor, con opciones de 1 habitación y 1 baño hasta 2 habitaciones y 2 baños y áreas para el descanso familiar.
Este proyecto cuenta con zonas comunes exclusivas para el disfrute de toda la familia como: una cancha múltiple, juegos infantiles, y un gimnasio biosaludable al aire libre.
Además, en las terrazas de las torres encontrarás espacios como coworking, zonas de yoga, cocina social (social kitchen) y áreas de lectura, ideales para quienes desean un estilo de vida integral y conectado.
Casablanca Gardens se integra de manera armónica en el sector de Suba, con acceso fácil por la Carrera 80 y conexiones a vías principales de Bogotá. Además, el proyecto cuenta con parqueaderos para bicicletas y vehículos, promoviendo opciones de movilidad sostenible y seguridad.
Descubre en Casablanca Gardens la oportunidad de invertir en un apartamento VIS en una de las zonas de mayor desarrollo de Bogotá.",Suba,Suba Cerros,Noroccidente,"4,743258","-74,076713",336,6,,,2027,$252.919.000,"39,00","36,10",2,1,,Si,"Salón Social, Zona de Yoga, Salón de Juegos, Bio Gimnasio, Cancha Múltiple, Coworking, Zona BBQ, Zona de Mascotas, Juegos Infantiles",Parqueadero Comunal,,https://www.youtube.com/watch?v=XGDWU-qysUo,https://galias.com.co/brochures/bogota/Brochure_Casablanca_Gardens.pdf,http://google.com/maps/d/u/1/viewer?mid=1gZrH3RLQhZfD-84g1E7drCIBgQcFeqg,https://www.waze.com/es/live-map/directions/co/bogota/bogota/cra.-80-145-85?to=place.EiJDcmEuIDgwICMxNDUtODUsIEJvZ290w6EsIENvbG9tYmlhIjASLgoUChIJBYOYVR2FP44R4eQAl-B5zsoQVSoUChIJrctTAP6EP44RUg0tK1OY_QI,Carrera 80 N° 145 – 75,Carrera 80 N° 145 – 75,Lunes a Domingo 9:00 Am hasta 5:00 Pm,casablancagardens@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/casa-blanca-gardens/,
Bogotá,Paseo de la Rivera,"Paseo de la Rivera: Vive en Bogotá con todo lo que necesitas
¿Estás buscando una vivienda VIS en Bogotá? Paseo de la Rivera es la opción perfecta para ti. Este proyecto, ubicado en la ciudadela Bosques del Mediterráneo, te ofrece espacios cómodos, modernos y con todos los servicios que necesitas para vivir una vida plena.
Ubicación privilegiada sobre la av ciudad de Cali con calle 69 sur. Fácil acceso a las principales vías de la ciudad. Además, está rodeado de áreas verdes y de servicios como supermercados, colegios, hospitales y a pocos minutos del centro comercial Gran Plaza.",Bosa,Islandia,Sur,"4,614205","-74,192460",891,4,,,2025,$213.525.000,"46,14","41,49",2,1,1,Si,"Juegos Infantiles, Bio Gimnasio, Triciclódromo, Piscina, Zona BBQ, Terraza Transitable, Salón Comunal, Cancha Múltiple, Gimnasio, Sauna y Turco, Zona de Mascotas, Bicicleteros","Parqueadero Comunal, Terraza Transitable",,https://www.youtube.com/watch?v=inObT4uKguw,https://www.galias.com.co/brochures/bogota/Brochure_Paseo-de-la-Rivera.pdf,https://goo.gl/maps/uBV2Hnf7J2WiJKzm8,https://www.waze.com/live-map/directions/colombia/bogota/bogota/bosques-del-mediterraneo?navigate=yes&place=ChIJt_h4pQqfP44RpqJBhWuxmIo,Calle 69C Sur # 84 – 50,Calle 69 Sur N° 82A – 99,Lunes a Domingo 9:30 Am hasta 5:00Pm,portaldemolinos@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/paseo-de-la-rivera/,
Bogotá,Boreas 175,"Bóreas 175: Apartamentos VIS en Usaquén, Bogotá
Bienvenido a Bóreas 175, un proyecto de vivienda pensado para familias que buscan comodidad, accesibilidad y un estilo de vida conectado en el norte de la ciudad. Aquí encuentras espacios modernos, seguros y funcionales que aprovechan cada metro cuadrado para brindarte bienestar y calidad de vida.
Ubicación Estratégica
Vive en Usaquén, una zona en crecimiento y con una oferta única de movilidad y servicios.
A pocos minutos de la Autopista Norte, el Portal 170 de TransMilenio y centros comerciales como Santa Fe y Cedritos. Además, tendrás cerca colegios, universidades y clínicas que facilitan tu día a día.
Un conjunto diseñado para el futuro
Bóreas 175 está compuesto por 6 torres de gran altura, con edificios de 27 y 28 pisos y un total de 1422 apartamentos VIS.
Cada torre integra terrazas verdes transitables, excelente iluminación natural y espacios pensados para que vivas con tranquilidad, seguridad y armonía.
Espacios que inspiran vida
El proyecto cuenta con una plataforma comunal central donde convergen actividades para todas las edades. Un espacio creado para compartir, descansar y disfrutar.
Zonas infantiles.
Áreas recreativas al aire libre.
Senderos y espacios verdes.
Edificio comunal con lobby, portería, casilleros y zonas de encuentro.
Además, Bóreas 175 incorpora 500 m² de comercio zonal, perfecto para tener servicios esenciales a pocos pasos de tu hogar.
Tu nuevo comienzo está aquí
Bóreas 175 es un proyecto creado para quienes quieren avanzar, invertir y proyectarse en una zona que sigue transformándose.
No es solo un conjunto residencial: es una nueva manera de vivir el norte de Bogotá, con calidad, diseño y oportunidades reales.
Bóreas 175: una oportunidad con futuro, hecha para ti.",Usaquén,Toberín,Norte,"4,755734","-74,045427",1422,6,,,2028,$300.692.000,"42,75","38,00",1,1,1,Si,"Cancha Múltiple, Terraza BBQ, Gimnasio, Zona de Juegos, Juegos Infantiles, Piscina, Sala de Lectura, Guardería, Terraza transitable, Zonas Verdes, Coworking, Forest Zone, Sauna y Turco, Game Room, Zona de Yoga, Terraza Teppanyaki, Salón Social, Zona de Mascotas",Parqueadero Comunal,Recorrido 360: https://my.matterport.com/show/?m=CVK3BfkmjL8,https://www.youtube.com/watch?v=XGDWU-qysUo,https://galias.com.co/brochures/bogota/Brochure_Boreas175.pdf,https://www.google.com/maps/d/viewer?mid=1MKJMbT2AwObuS9PqzUWOpprxia0pNvE&ll=4.755773300000007%2C-74.0450116&z=17,https://www.waze.com/es/live-map/directions?to=ll.4.75590257%2C-74.04493332,Calle 175 N° 22 – 10,Calle 175 N° 22 – 10,Lunes a Domingo 9:00 Am hasta 5:00 Pm,boreas175@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/boreas175/,
Mosquera,Brezza  Ciudadela Belari,"Libérate de la ciudad y reconéctate con la naturaleza desde tu nuevo apartamento en Brezza, proyecto VIS con parqueadero privado ubicado en Ciudadela Belari de Mosquera
Brezza es un espacio conformado por 12 torres multifamiliares con una altura de 12 pisos. Conoce aquí la oportunidad perfecta para compartir momentos increíbles en un proyecto que tiene todo lo que siempre buscaste: Múltiples zonas sociales para divertirse y mantener una rutina activa sin salir de casa, Parqueadero totalmente privado para la comodidad de las familias y acceso a puntos de interés del municipio y vías principales que conectan con la Ciudad de Bogotá. ¿Qué esperas para iniciar una nueva historia en contacto con aquello que brinda paz y armonía a tu vida? La conexión con la naturaleza y el tiempo de calidad en familia. Recibe asesoría personalizada ¡Ahora! Aplican subsidios de vivienda.",,,,"4,703770","-74,246933",576,12,,,2026,$234.878.000,"41,62","37,36",1 ó 2,1,,Si,"Juegos Infantiles, Salón de Juegos, Cancha Múltiple, Piscina, Bio Gimnasio, Sauna y Turco, Salón Social, Zona BBQ, Triciclódromo, Gimnasio, Coworking, Zona de Mascotas, Pista de Trote, Salón Lúdico, Terraza Transitable","Parqueadero Propio, Ascesor",,https://www.youtube.com/watch?v=0oEpWN0lQKo,https://galias.com.co/brochures/bogota/Brochure_Brezza_Ciudadela.pdf,"https://www.google.com/maps/dir//Brezza+Ciudadela+-+Sala+de+Ventas+MQW4%2B7J+Mosquera,+Cundinamarca/@4.6957263,-74.2434147,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8e3f778a5951d8bd:0xae8e9bdd9bc09635",https://www.waze.com/en/live-map/directions?to=ll.4.695733%2C-74.243395,"Km 1 Vía Mosquera – La Mesa, Junto a Serrezuela Country Club","Av. Calle 13 # 96C – 80, Bogotá D.C",Lunes a Domingo 9:30 Am hasta 5:30Pm,belariciudadela@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/brezza-ciudadela-belari/,
Cali,Altavista 2000,"¿Buscas que tus sueños pasen al siguiente nivel?
Empieza por tu hogar propio
Materializar tus sueños es el primer paso para vivir una mejor calidad de vida. Conoce Altavista 2000, un lugar donde tu nuevo hogar tiene vista a memorables atardeceres en la ciudad de Cali.
Nuestro proyecto cuenta con 3 torres de hasta 20 pisos, apartamentos con áreas desde 48.85m 2, 2 habitaciones, 1 espacio adaptable y 1 baños. Disfruta también de modernas zonas sociales donde realizarás cualquier tipo de actividad en compañía de tus familiares y amigos. ¿Qué tal compartir en familia de una tarde soleada en la piscina o una mañana llena de ejercicio y entrenamiento en el gimnasio? Tú eliges.
En Altavista 2000 te encuentras en una zona privilegiada de la ciudad, a pocas cuadras de la Autopista Simón Bolívar y a minutos de centros comerciales, centros educativos, clínicas y puntos de interés como restaurantes y vida nocturna.
Cuando vives con altura conoces una mejor calidad de vida en compañía de tu familia. Sé parte de Altavista 2000, tu oportunidad de vivienda propia. 5",Comuna 16,Alborada,Oriente,"3,400528","-76,521556",620,3,,hasta 20 pisos,2026,$237.013.000,"55,55","48,85",2,1,1,Si,"Juegos Infantiles, Zona de Mascotas, Piscina, Pista de Trote, Salón Social, Bio Gimnasio, Cancha Múltiple","Parqueadero Comunal, Ascensor",,,https://galias.com.co/brochures/cali/Brochure_Altavista_2000.pdf,"https://maps.google.com/maps/dir//3.4003611,-76.5214722/@3.4003611,-76.5214722,17z",https://www.waze.com/es/live-map/directions?navigate=yes&utm_expid=.K6QI8s_pTz6FfRdYRPpI3A.0&utm_referrer=https%3A%2F%2Fwww.waze.com%2Flivemap%2Fdirections%3Fnavigate%3Dyes%26latlng%3D3.40048921%252C-76.52171516%26zoom%3D17&to=ll.3.40048921%2C-76.52171516,Carrera 61 N° 26 – 54,Carrera 61 N° 26 – 54,Lunes a Domingo 9:30 Am hasta 5:30 Pm,ventascali@galias.com.co,https://galias.com.co/proyectos-en-venta/cali/altavista-2000/,
Cali,Chipichape 6 35,"Tu inversión inteligente en el corazón de Cali
¿Sueñas con construir un patrimonio sólido y a la vez generar ingresos pasivos? Chipichape 6-35 te presenta la oportunidad perfecta para invertir en un proyecto inmobiliario único, estratégicamente ubicado en el norte de Cali y diseñado para rentas cortas con licencia turística.
Ubicación privilegiada:
Inmerso en el vibrante sector de Chipichape, a solo pasos del Centro Comercial Chipichape, Pacific Mall, supermercados Jumbo y Éxito, Gimnasios, la terminal de transporte, la estación del MIO y el bulevar del río.
Goza de alta conectividad y cercanía a todo lo que necesitas para disfrutar de un estilo de vida moderno y cosmopolita.
550 apartaestudios ideales para rentas cortas:
Cada apartaestudio cuenta con un amplio balcón, perfecto para disfrutar del clima caleño y las vistas panorámicas de la ciudad.
Espacios modernos y funcionales, que puedes dotar para ofrecer una experiencia memorable a tus huéspedes.
Licencia turística que te permitirá generar ingresos pasivos a través de plataformas como Airbnb o Booking.com.
Más de 19 zonas sociales para el ocio y el bienestar:
Piscina con bar, jacuzzi, gimnasio, BBQ, coworking, sports bar, locker room, laundry room y mucho más.
Un completo abanico de opciones para que tus huéspedes disfruten de un tiempo de relax y diversión mientras visitan la ciudad desde la mejor ubicación.
Te asesoramos financieramente:
Contamos con un equipo de expertos que te brindarán asesoría personalizada para obtener el crédito hipotecario que mejor se adapte a tus necesidades.
Flexibilidad en las cuotas para que puedas invertir de manera cómoda y segura.
Chipichape 6-35 No solo una inversión, sino un estilo de vida.",Comuna 2,Santa Mónica,Nor-Occidente,"3,474095","-76,529594",550,2,,,2026,$262.635.000,"32,37","27,69",1,1,,,"Piscina, Coworking, Zona de Mascotas, Lavandería, Bio Gimnasio, Zona BBQ","Parqueadero Comunal, Ascensor",,,https://galias.com.co/brochures/cali/Brochure_Chipichape_6-35.pdf,https://www.google.com/maps/d/embed?mid=1pZINdPvPEiNE2cXhmpv1Co3p4OJWc-M&hl=es-419&ehbc=2E312F,https://www.waze.com/en/live-map/directions?navigate=yes&utm_expid=.K6QI8s_pTz6FfRdYRPpI3A.0&utm_referrer=https%3A%2F%2Fwww.waze.com%2Flivemap%2Fdirections%3Fnavigate%3Dyes%26latlng%3D3.40048921%252C-76.52171516%26zoom%3D17&z=17&to=ll.3.4707873%2C-76.5292981,Av. 6D Norte – Calle 35 Norte,Avenida 6a Norte #28N – 92,Lunes a Domingo 9:30 Am hasta 5:30Pm,chipichape6-35@galias.com.co,https://galias.com.co/proyectos-en-venta/cali/chipichape-6-35/,
Cali,Menga 8-67,"Menga 8-67: Tu inversión inteligente en el norte de Cali
¿Estás buscando un apartamento cómodo, en una buena zona y que además sea una buena inversión? Menga 8-67 es exactamente lo que necesitas. Este proyecto, ubicado en el norte de Cali, ofrece todo lo que una familia o inversionista podría desear, a un precio accesible y con todas las comodidades de un conjunto de lujo.
Ubicación Perfecta para tu Vida Diaria
Vivir en Menga 8-67 significa estar bien conectado:
A solo 20 minutos del aeropuerto, ideal para quienes viajan seguido.
Cerca de avenidas principales como la Av. 8 Norte y la Calle 67 Norte, lo que te permite moverte fácilmente por la ciudad.
En una zona en crecimiento, lo que asegura que tu inversión valdrá más con el tiempo.
Apartamentos Diseñados para tu Comodidad
288 apartamentos en 6 torres, con solo 4 apartamentos por piso, para que tengas más privacidad.
Espacios bien distribuidos y con balcón.
Con opciones de financiamiento y subsidios VIS para que sea más fácil comprar.",Comuna 2,Menga,Nor-Occidente,"3,492183","-76,525793",288,6,,,2027,$252.919.000,"39,21","34,71",1,1,,,"Coworking, Pista de Trote, Gimnasio, Cardio Workout Room, Lavandería, Fireplace, Bikes WorkShop, Piscina, Zona de Mascotas, Bio Gimnasio, Zona de Yoga, Zona BBQ","Parqueadero Comunal, Ascensor",Recorrido 360: https://my.matterport.com/show/?m=jgan2AjHAit,,https://galias.com.co/brochures/cali/Brochure_Menga_8-67.pdf,https://www.google.com/maps/d/embed?mid=1pZINdPvPEiNE2cXhmpv1Co3p4OJWc-M&hl=es-419&ehbc=2E312F&ll=3.470818900000022%2C-76.52921979999999&z=17,https://www.waze.com/en/live-map/directions?navigate=yes&utm_expid=.K6QI8s_pTz6FfRdYRPpI3A.0&utm_referrer=https%3A%2F%2Fwww.waze.com%2Flivemap%2Fdirections%3Fnavigate%3Dyes%26latlng%3D3.40048921%252C-76.52171516%26zoom%3D17&z=17&to=ll.3.4707873%2C-76.5292981,Av. 8 Norte – Calle 67 Norte,Avenida 6a Norte #28N – 92,Lunes a Domingo 9:30Am hasta 5:30Pm,menga8-67@galias.com.co,https://galias.com.co/proyectos-en-venta/cali/menga-8-67/,
Cali,Álamos 70,"Álamos 70: Tu nuevo comienzo en el norte de Cali
¿Buscas una vivienda con excelente ubicación, diseño moderno y que además sea una gran inversión? Álamos 70 es la nueva propuesta VIS del norte de Cali que combina comodidad, conectividad y calidad de vida en un solo lugar.
Ubicación que lo tiene todo
Vivir en Álamos 70 significa estar en una de las zonas con mayor proyección del norte cali:
A pocos minutos del Terminal del MIO y excelentes vías de acceso, lo que te permite moverte fácilmente por la ciudad.
En un entorno de crecimiento urbano que asegura valorización y rentabilidad a futuro.
Apartamentos Diseñados para tu Comodidad
839 apartamentos VIS en 5 torres, con solo 10 apartamentos por piso, para que tengas más privacidad.
Espacios bien distribuidos y con balcón.
Con opciones de financiamiento y subsidios VIS para que sea más fácil comprar.
Cuenta con 47 locales comerciales distribuidos en el primer piso, ideales para que vivas, trabajes o emprendas sin salir de casa.
Espacios comunes para disfrutar
Aquí no solo vivirás, sino que disfrutarás de:
Piscina para adultos y niños, perfectas para relajarte o compartir con amigos.
Gimnasio cubierto y gimnasio al aire libre, para mantenerte en forma sin salir de casa.
Zona de juegos infantiles y zona de mascotas, para disfrutar en familia.
Salón comunal de tres pisos con terraza, ideal para eventos y encuentros.
Zonas verdes y áreas de descanso, que ocupan más del 30% del área total.
Una inversión con propósito
¡Vale la Pena! Comprar en Álamos 70 no es solo tener un apartamento, es asegurar tu futuro:
Precio accesible con opción de subsidios y crédito preferencial.
En una zona en expansión, lo que asegura rentabilidad y crecimiento patrimonial.
Ideal para vivir, invertir o rentar con retorno asegurado.
No es solo un apartamento, es tu espacio, tu futuro, tu inversión inteligente. Vive el norte de Cali desde lo más alto.",Comuna 2,alamos,Nor-Occidente,"3,490787","-76,508087",839,5,,,2028,$270.623.000,"44,85","39,65",1,1,1,1,"Piscina, Salón Social, Bio Gimnasio, Gimnasio, Juegos Infantiles, Cancha Múltiple, Zona de Mascotas, Coworking, Terraza BBQ, Zonas Verdes","Parqueadero Comunal, Ascensor",Recorrido 360: https://my.matterport.com/show/?m=7aPbZcBH6ck,,https://galias.com.co/brochures/cali/Brochure_Alamos_70.pdf,https://www.google.com/maps/d/u/2/edit?mid=1OGTOULyzDrR3ZqHCfDetAdy-zHiaU6s&usp=sharing,https://www.waze.com/en/live-map/directions/co/valle-del-cauca/cali/calle-70-norte-2b-166?place=ChIJ6-DseYaoMI4RZOemRL_QAaA,Calle 70 Norte # 2B – 166,Calle 70 Norte # 2B – 166,Lunes a Domingo 9:30 Am hasta 5:30Pm,alamos70@galias.com.co,https://galias.com.co/proyectos-en-venta/cali/alamos-70/,
Pereira,Alborada de Cuba,"Descubre Alborada de Cuba – Tu nuevo hogar en Pereira
Vive en una ubicación estratégica sobre la Calle 80, en el sector de Cuba, Pereira, rodeado de todo lo que necesitas para disfrutar en familia. ¡Haz realidad tu sueño de tener vivienda propia!
¿Por qué elegir Alborada de Cuba?
Ubicación privilegiada: Cerca de lugares clave como el Parque El Oso, Tiendas D1 y ARA, la Universidad Católica de Pereira y el Hospital San Joaquín.
Espacios diseñados para ti: Disfruta de plazoleta, zonas verdes, triciclódromo, juegos infantiles y un completo sector comercial.
¡Haz parte de Alborada de Cuba y empieza una nueva etapa en tu vida!",,2500 Lotes,,"4,793038","-75,727398",100,5,,,2026,$221.999.000,"45,43","41,33",3,1,,Si,"Juegos Infantiles, Triciclódromo, Plazoleta","Zona Comercial, Zonas Verdes, Plazoleta",,,https://galias.com.co/brochures/pereira/Brochure-Alborada-de-Cuba.pdf,"https://www.google.com/maps/dir//Cl.+75+%2344+Pereira,+Risaralda/@4.7993684,-75.73434,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8e387d95cd646709:0x6472d863a19c65fc",https://www.waze.com/live-map/directions/co/risaralda/pereira/bosques-de-cuba?navigate=yes&to=place.ChIJZcUYlZp9OI4RzruPxvnk9R8,Calle 80 – Carrera 46,Calle 75 # 44-60 Local 5 y 6,Lunes a Domingo 9:30 Am hasta 5:30Pm,bosquesdecuba@galias.com.co,https://galias.com.co/proyectos-en-venta/pereira/alborada-de-cuba/,
Pereira,Altavista del Parque,"¿El hogar de tus sueños tiene todo a tu alcance?
Cuando tu propio hogar se ubica en una zona estratégica de la Ciudad de Pereira, tu vida se vuelve mejor. Descúbrelo en Altavista del Parque, tu oportunidad de comprar vivienda de interés social sobre la calle 82, en un sector con excelentes vías principales, transporte público, centros educativos, salud, recreación, parques y comercio.
Conoce ahora un proyecto de apartamentos flexibles donde podrás tener tu hogar soñado desde 1 ó 2 habitación y 1 baño, el lugar ideal para ver la familia crecer y vivir momentos inolvidables y disfrutar de más de 15 zonas sociales.
¡Te rodearás de lo que más te gusta! Vive a un paso de supermercados Tiendas D1, a 10 minutos del Centro Comercial Unicentro y a 15 minutos de Pricesmart, Alkosto y Homecenter. ¿Qué esperas para cumplir tu sueño? Recibe asesoría personalizada y permítenos ser parte del inicio de esta nueva historia. Aplican subsidios de vivienda.",,Altavista,,"4,794452","-75,742760",346,8,,,2028,$239.759.000,"42,38","37,37",1 ó 2,1,,Si,"Juegos Infantiles, Zona BBQ, Zona Picnic, Piscina, Casa de Muñecas, Huerta Urbana, Salón Social, Cancha Múltiple, Golosa, Bio Gimnasio, Triciclódromo, Zona de Juegos, Zona de Mascotas, Arenero","Parqueadero Comunal, Ascensor",,,https://galias.com.co/brochures/pereira/Brochure_Altavista_del_Parque.pdf,https://www.google.com/maps/d/edit?mid=1dwGU_FJXoLMTva8xh7d-0us0Y90m41E&usp=sharing,https://www.waze.com/en/live-map/directions?to=ll.4.8088998%2C-75.74365,Calle 82 #27-05,Avenida 30 de Agosto – Rincón de Unicentro,Lunes a Domingo 9:30 Am hasta 5:30Pm,altavistadelparque@galias.com.co,https://galias.com.co/proyectos-en-venta/pereira/altavista-del-parque/,
Pereira,Bosques De Cuba,"Vivir al natural es la mejor elección para iniciar un nuevo comienzo
Respira aire puro, observa el verde a tu alrededor y vive los privilegios de la ciudad sin el caos y el ruido extremo. Conoce Bosques de cuba 2, un lugar donde vives al natural.
Nuestro proyecto cuenta con espacios desde 41.33m2, 3 habitaciones, 1 baños y más 15 de modernas sociales como coworking, huerta urbana, piscinas, gimnasio trx y zonas bbq o picnic para que compartas en compañía de tu familia y amigos.
Con Bosques de Cuba 2 tienes acceso a varios puntos de interés como colegios, restaurantes, centros comerciales y vías principales. La Avenida Américas te conecta con el transporte público de Pereira, permitiéndote la movilización por toda la ciudad. En tu hogar propio tienes todo a un paso de casa y en contacto con la naturaleza, gracias a los parques naturales que rodean nuestro proyecto y las amplias zonas verdes que encuentras dentro de él.
Conoce Bosques de Cuba 2 y empieza un nuevo comienzo con los privilegios de la ciudad viviendo lo mejor de un paisaje natural en tu propia vivienda.",,Cuba,,"4,790488","-75,726195",440,22,,,2026,$211.390.000,"45,43","41,33",3,1,,Si,"Juegos Infantiles, Zona BBQ, Piscina, Coworking, Salón Social, Cancha Múltiple, Bio Gimnasio, Triciclódromo, Zona de Mascotas, Arenero",Parqueadero Comunal,,,https://galias.com.co/brochures/pereira/BrochureBosquedeCuba-2.pdf,"https://maps.google.com/maps/dir//Cl.+75+%2344+Pereira,+Risaralda/@4.7993684,-75.73434,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8e387d95cd646709:0x6472d863a19c65fc",https://www.waze.com/live-map/directions/colombia/risaralda/pereira/bosques-de-cuba?navigate=yes&place=ChIJZcUYlZp9OI4RzruPxvnk9R8,Carrera 46 # 78 – 61,Calle 75 # 44-60 Local 5 y 6,Lunes a Domingo 9:30 Am hasta 5:30Pm,bosquesdecuba@galias.com.co,https://galias.com.co/proyectos-en-venta/pereira/bosques-de-cuba-2/,
Pereira,Brisas de Belmonte,"¿Te gustaría vivir una rutina al alcance de todo?
¡Bienvenido a Brisas de Belmonte, el lugar perfecto para tener tu nuevo hogar en Pereira! Este proyecto de la constructora Galias está ubicado en una zona residencial privilegiada, cercana a instituciones educativas, centros comerciales y al futuro centro de negocios más importante del Eje Cafetero: el World Trade Center.
En Belmonte, encontrarás todo lo que necesitas para una vida cómoda y llena de bienestar. Contamos con apartamentos desde 41.33m2, 3 habitaciones y 1 baños, perfectos para familias modernas que buscan vivir en un espacio amplio y confortable. Además, nuestras zonas sociales son excelentes para compartir momentos especiales con tus seres queridos.
En nuestro proyecto, podrás disfrutar de la tranquilidad que ofrece vivir en una zona segura y de fácil acceso. Con cercanía a las principales vías de transporte de la ciudad, te aseguramos que podrás movilizarte de manera rápida y sencilla.
No lo pienses más y conviértete en parte de Brisas de Belmonte. Aquí, podrás iniciar una nueva historia en un hogar propio y disfrutar de la vida que mereces. Contáctanos para conocer más acerca de nuestro proyecto y de cómo puedes adquirir tu nuevo hogar. ¡Te esperamos!",,Belmonte,,"4,807260","-75,759098",180,9,,,2026,$211.390.000,"45,43","41,33",3,1,,Si,"Juegos Infantiles, Zona BBQ, Mirador, Zona Picnic, Salón Social, Huerta Urbana, Bio Gimnasio, Triciclódromo, Zona de Mascotas, Arenero",Parqueadero Comunal,,https://www.youtube.com/watch?v=-F8YVhGGKoU,https://galias.com.co/brochures/pereira/Brochure_Brisas_de_Belmonte.pdf,https://www.google.com/maps/d/viewer?mid=1hdokzQsGtWCu6DMEmBLigkwLSqWn4FQ&ll=4.808964600000007%2C-75.74427179999999&z=17,https://www.waze.com/en/live-map/directions?to=ll.4.8088998%2C-75.74415,Calle 96 #17-36,Avenida 30 de Agosto – Rincón de Unicentro,Lunes a Domingo 9:30 Am hasta 5:30Pm,brisasdebelmonte@galias.com.co,https://galias.com.co/proyectos-en-venta/pereira/brisas-de-belmonte/,
